season,holiday,workingday,weather,temp,humidity,count,year,month,day,hour,dayofweek
1,0,0,1,12.3,39,22,2018,1,2,20,1
1,0,0,1,10.66,44,31,2018,1,2,21,1
1,0,0,1,9.84,44,9,2018,1,2,22,1
1,0,0,1,9.02,47,8,2018,1,2,23,1
1,0,1,1,9.02,44,5,2018,1,3,0,2
1,0,1,1,8.2,44,2,2018,1,3,1,2
1,0,1,1,6.56,47,1,2018,1,3,4,2
1,0,1,1,6.56,47,3,2018,1,3,5,2
1,0,1,1,5.74,50,30,2018,1,3,6,2
1,0,1,1,5.74,50,64,2018,1,3,7,2
1,0,1,1,5.74,50,154,2018,1,3,8,2
1,0,1,1,6.56,43,88,2018,1,3,9,2
1,0,1,1,7.38,43,44,2018,1,3,10,2
1,0,1,1,8.2,40,51,2018,1,3,11,2
1,0,1,1,9.02,35,61,2018,1,3,12,2
1,0,1,1,9.84,35,61,2018,1,3,13,2
1,0,1,1,10.66,30,77,2018,1,3,14,2
1,0,1,1,10.66,30,72,2018,1,3,15,2
1,0,1,1,10.66,30,76,2018,1,3,16,2
1,0,1,1,9.84,30,157,2018,1,3,17,2
1,0,1,1,9.84,32,157,2018,1,3,18,2
1,0,1,1,8.2,47,110,2018,1,3,19,2
1,0,1,1,8.2,47,52,2018,1,3,20,2
1,0,1,1,7.38,64,52,2018,1,3,21,2
1,0,1,1,5.74,69,20,2018,1,3,22,2
1,0,1,1,7.38,55,12,2018,1,3,23,2
1,0,1,1,6.56,55,5,2018,1,4,0,3
1,0,1,1,6.56,59,2,2018,1,4,1,3
1,0,1,1,5.74,63,1,2018,1,4,2,3
1,0,1,1,5.74,63,2,2018,1,4,4,3
1,0,1,1,4.92,68,4,2018,1,4,5,3
1,0,1,1,4.92,74,36,2018,1,4,6,3
1,0,1,1,4.92,74,94,2018,1,4,7,3
1,0,1,1,5.74,69,179,2018,1,4,8,3
1,0,1,1,6.56,64,100,2018,1,4,9,3
1,0,1,2,6.56,69,42,2018,1,4,10,3
1,0,1,1,9.02,51,57,2018,1,4,11,3
1,0,1,1,9.02,51,78,2018,1,4,12,3
1,0,1,1,9.84,56,97,2018,1,4,13,3
1,0,1,1,10.66,52,63,2018,1,4,14,3
1,0,1,1,11.48,52,65,2018,1,4,15,3
1,0,1,1,12.3,49,83,2018,1,4,16,3
1,0,1,1,11.48,48,212,2018,1,4,17,3
1,0,1,1,10.66,48,182,2018,1,4,18,3
1,0,1,1,9.84,48,112,2018,1,4,19,3
1,0,1,1,9.84,48,54,2018,1,4,20,3
1,0,1,1,9.02,64,48,2018,1,4,21,3
1,0,1,1,9.02,64,35,2018,1,4,22,3
1,0,1,1,8.2,69,11,2018,1,4,23,3
1,0,1,1,8.2,64,6,2018,1,5,0,4
1,0,1,1,6.56,74,6,2018,1,5,1,4
1,0,1,1,6.56,74,2,2018,1,5,2,4
1,0,1,1,9.84,48,2,2018,1,5,4,4
1,0,1,1,9.02,47,3,2018,1,5,5,4
1,0,1,1,8.2,47,33,2018,1,5,6,4
1,0,1,1,7.38,43,88,2018,1,5,7,4
1,0,1,1,8.2,40,195,2018,1,5,8,4
1,0,1,1,9.02,37,115,2018,1,5,9,4
1,0,1,1,9.02,37,57,2018,1,5,10,4
1,0,1,1,10.66,33,46,2018,1,5,11,4
1,0,1,1,10.66,33,79,2018,1,5,12,4
1,0,1,1,11.48,30,71,2018,1,5,13,4
1,0,1,1,12.3,28,62,2018,1,5,14,4
1,0,1,1,12.3,28,62,2018,1,5,15,4
1,0,1,1,12.3,28,89,2018,1,5,16,4
1,0,1,1,9.84,38,190,2018,1,5,17,4
1,0,1,1,9.84,38,169,2018,1,5,18,4
1,0,1,1,9.84,38,132,2018,1,5,19,4
1,0,1,1,9.02,47,89,2018,1,5,20,4
1,0,1,1,8.2,51,43,2018,1,5,21,4
1,0,1,1,7.38,55,42,2018,1,5,22,4
1,0,1,1,8.2,47,19,2018,1,5,23,4
1,0,1,1,7.38,55,11,2018,1,6,0,5
1,0,1,1,6.56,64,4,2018,1,6,1,5
1,0,1,1,6.56,64,2,2018,1,6,2,5
1,0,1,2,6.56,64,1,2018,1,6,4,5
1,0,1,2,5.74,69,4,2018,1,6,5,5
1,0,1,2,5.74,63,36,2018,1,6,6,5
1,0,1,2,6.56,59,95,2018,1,6,7,5
1,0,1,1,6.56,59,219,2018,1,6,8,5
1,0,1,2,7.38,51,122,2018,1,6,9,5
1,0,1,1,8.2,47,45,2018,1,6,10,5
1,0,1,1,9.02,44,59,2018,1,6,11,5
1,0,1,1,10.66,35,84,2018,1,6,12,5
1,0,1,1,10.66,35,67,2018,1,6,13,5
1,0,1,1,11.48,36,70,2018,1,6,14,5
1,0,1,1,11.48,36,62,2018,1,6,15,5
1,0,1,1,10.66,38,86,2018,1,6,16,5
1,0,1,1,9.02,51,172,2018,1,6,17,5
1,0,1,1,9.02,51,163,2018,1,6,18,5
1,0,1,1,9.02,55,112,2018,1,6,19,5
1,0,1,1,8.2,51,69,2018,1,6,20,5
1,0,1,2,9.02,55,48,2018,1,6,21,5
1,0,1,2,9.02,51,52,2018,1,6,22,5
1,0,1,2,8.2,59,23,2018,1,6,23,5
1,0,1,2,8.2,64,17,2018,1,7,0,6
1,0,1,2,8.2,69,7,2018,1,7,1,6
1,0,1,2,8.2,69,1,2018,1,7,2,6
1,0,1,2,8.2,69,1,2018,1,7,4,6
1,0,1,3,9.02,55,5,2018,1,7,5,6
1,0,1,2,8.2,69,34,2018,1,7,6,6
1,0,1,1,8.2,69,84,2018,1,7,7,6
1,0,1,1,8.2,51,210,2018,1,7,8,6
1,0,1,1,8.2,47,134,2018,1,7,9,6
1,0,1,1,9.02,37,63,2018,1,7,10,6
1,0,1,2,8.2,40,67,2018,1,7,11,6
1,0,1,2,8.2,37,59,2018,1,7,12,6
1,0,1,2,8.2,37,73,2018,1,7,13,6
1,0,1,2,8.2,40,50,2018,1,7,14,6
1,0,1,2,8.2,37,72,2018,1,7,15,6
1,0,1,2,8.2,37,87,2018,1,7,16,6
1,0,1,2,8.2,37,187,2018,1,7,17,6
1,0,1,1,8.2,40,123,2018,1,7,18,6
1,0,1,1,6.56,55,95,2018,1,7,19,6
1,0,1,1,7.38,47,51,2018,1,7,20,6
1,0,1,1,7.38,47,39,2018,1,7,21,6
1,0,1,2,7.38,43,36,2018,1,7,22,6
1,0,1,2,7.38,51,15,2018,1,7,23,6
1,0,0,2,7.38,51,25,2018,1,8,0,0
1,0,0,2,7.38,55,16,2018,1,8,1,0
1,0,0,2,7.38,55,16,2018,1,8,2,0
1,0,0,3,7.38,55,7,2018,1,8,3,0
1,0,0,3,7.38,55,1,2018,1,8,4,0
1,0,0,2,6.56,74,5,2018,1,8,5,0
1,0,0,2,6.56,74,2,2018,1,8,6,0
1,0,0,2,6.56,74,9,2018,1,8,7,0
1,0,0,3,6.56,93,15,2018,1,8,8,0
1,0,0,3,6.56,93,20,2018,1,8,9,0
1,0,0,2,7.38,80,61,2018,1,8,10,0
1,0,0,2,8.2,69,62,2018,1,8,11,0
1,0,0,2,8.2,59,98,2018,1,8,12,0
1,0,0,1,8.2,44,102,2018,1,8,13,0
1,0,0,1,8.2,32,95,2018,1,8,14,0
1,0,0,1,8.2,32,74,2018,1,8,15,0
1,0,0,1,7.38,29,76,2018,1,8,16,0
1,0,0,1,6.56,37,69,2018,1,8,17,0
1,0,0,1,5.74,39,55,2018,1,8,18,0
1,0,0,1,5.74,36,30,2018,1,8,19,0
1,0,0,1,4.92,36,28,2018,1,8,20,0
1,0,0,1,4.92,39,37,2018,1,8,21,0
1,0,0,1,4.92,36,34,2018,1,8,22,0
1,0,0,1,4.1,39,22,2018,1,8,23,0
1,0,0,1,4.1,42,25,2018,1,9,0,1
1,0,0,1,4.1,42,12,2018,1,9,1,1
1,0,0,1,4.1,46,11,2018,1,9,2,1
1,0,0,1,4.1,46,4,2018,1,9,3,1
1,0,0,1,3.28,53,1,2018,1,9,4,1
1,0,0,1,3.28,53,1,2018,1,9,5,1
1,0,0,1,4.1,49,1,2018,1,9,6,1
1,0,0,1,3.28,53,6,2018,1,9,7,1
1,0,0,1,4.1,49,10,2018,1,9,8,1
1,0,0,1,4.92,46,19,2018,1,9,9,1
1,0,0,1,5.74,43,49,2018,1,9,10,1
1,0,0,1,6.56,40,49,2018,1,9,11,1
1,0,0,1,7.38,37,83,2018,1,9,12,1
1,0,0,1,8.2,34,75,2018,1,9,13,1
1,0,0,1,9.02,32,72,2018,1,9,14,1
1,0,0,1,9.02,35,82,2018,1,9,15,1
1,0,0,1,8.2,34,92,2018,1,9,16,1
1,0,0,1,7.38,37,62,2018,1,9,17,1
1,0,0,1,6.56,40,48,2018,1,9,18,1
1,0,0,1,6.56,43,41,2018,1,9,19,1
1,0,0,1,5.74,46,38,2018,1,9,20,1
1,0,0,1,5.74,46,20,2018,1,9,21,1
1,0,0,1,5.74,46,15,2018,1,9,22,1
1,0,0,1,4.92,50,6,2018,1,9,23,1
1,0,1,1,4.92,50,5,2018,1,10,0,2
1,0,1,1,4.92,50,1,2018,1,10,1,2
1,0,1,1,4.92,50,3,2018,1,10,2,2
1,0,1,1,4.92,50,1,2018,1,10,3,2
1,0,1,1,4.1,54,3,2018,1,10,4,2
1,0,1,1,4.1,54,3,2018,1,10,5,2
1,0,1,1,4.92,50,31,2018,1,10,6,2
1,0,1,1,4.92,50,77,2018,1,10,7,2
1,0,1,2,4.92,50,188,2018,1,10,8,2
1,0,1,2,5.74,50,94,2018,1,10,9,2
1,0,1,2,5.74,50,31,2018,1,10,10,2
1,0,1,2,6.56,47,30,2018,1,10,11,2
1,0,1,2,8.2,40,52,2018,1,10,12,2
1,0,1,2,8.2,40,54,2018,1,10,13,2
1,0,1,2,8.2,40,47,2018,1,10,14,2
1,0,1,2,8.2,40,45,2018,1,10,15,2
1,0,1,1,8.2,40,74,2018,1,10,16,2
1,0,1,1,8.2,40,178,2018,1,10,17,2
1,0,1,1,8.2,40,155,2018,1,10,18,2
1,0,1,1,6.56,47,95,2018,1,10,19,2
1,0,1,1,6.56,50,74,2018,1,10,20,2
1,0,1,1,5.74,59,38,2018,1,10,21,2
1,0,1,1,5.74,59,24,2018,1,10,22,2
1,0,1,1,5.74,59,18,2018,1,10,23,2
1,0,1,1,5.74,59,12,2018,1,11,0,3
1,0,1,1,5.74,59,3,2018,1,11,1,3
1,0,1,2,6.56,55,3,2018,1,11,2,3
1,0,1,2,6.56,55,6,2018,1,11,5,3
1,0,1,2,6.56,55,27,2018,1,11,6,3
1,0,1,2,6.56,55,99,2018,1,11,7,3
1,0,1,2,7.38,51,217,2018,1,11,8,3
1,0,1,2,7.38,51,130,2018,1,11,9,3
1,0,1,2,8.2,51,54,2018,1,11,10,3
1,0,1,2,8.2,47,35,2018,1,11,11,3
1,0,1,2,8.2,51,57,2018,1,11,12,3
1,0,1,2,8.2,59,52,2018,1,11,13,3
1,0,1,2,8.2,59,63,2018,1,11,14,3
1,0,1,2,6.56,80,47,2018,1,11,15,3
1,0,1,2,6.56,86,76,2018,1,11,16,3
1,0,1,2,6.56,86,136,2018,1,11,17,3
1,0,1,3,6.56,93,95,2018,1,11,18,3
1,0,1,3,6.56,93,51,2018,1,11,19,3
1,0,1,3,6.56,93,32,2018,1,11,20,3
1,0,1,3,6.56,86,20,2018,1,11,21,3
1,0,1,3,6.56,93,29,2018,1,11,22,3
1,0,1,3,6.56,93,19,2018,1,11,23,3
1,0,1,2,6.56,86,7,2018,1,12,0,4
1,0,1,2,6.56,86,6,2018,1,12,1,4
1,0,1,1,5.74,86,1,2018,1,12,2,4
1,0,1,1,5.74,86,5,2018,1,12,5,4
1,0,1,1,4.92,93,16,2018,1,12,6,4
1,0,1,1,5.74,69,54,2018,1,12,7,4
1,0,1,1,6.56,59,128,2018,1,12,8,4
1,0,1,1,6.56,59,81,2018,1,12,9,4
1,0,1,1,7.38,55,39,2018,1,12,10,4
1,0,1,1,8.2,51,35,2018,1,12,11,4
1,0,1,1,8.2,47,55,2018,1,12,12,4
1,0,1,1,9.02,44,49,2018,1,12,13,4
1,0,1,1,8.2,47,44,2018,1,12,14,4
1,0,1,1,8.2,47,49,2018,1,12,15,4
1,0,1,1,9.02,44,68,2018,1,12,16,4
1,0,1,1,8.2,47,139,2018,1,12,17,4
1,0,1,1,8.2,47,137,2018,1,12,18,4
1,0,1,1,7.38,47,83,2018,1,12,19,4
1,0,1,1,6.56,50,56,2018,1,12,20,4
1,0,1,1,6.56,55,57,2018,1,12,21,4
1,0,1,1,6.56,55,33,2018,1,12,22,4
1,0,1,1,5.74,59,20,2018,1,12,23,4
1,0,1,1,5.74,59,7,2018,1,13,0,5
1,0,1,1,5.74,50,2,2018,1,13,1,5
1,0,1,1,5.74,50,2,2018,1,13,2,5
1,0,1,1,5.74,50,3,2018,1,13,3,5
1,0,1,1,5.74,50,4,2018,1,13,4,5
1,0,1,1,5.74,50,3,2018,1,13,5,5
1,0,1,1,4.92,54,28,2018,1,13,6,5
1,0,1,1,4.92,54,72,2018,1,13,7,5
1,0,1,1,5.74,50,202,2018,1,13,8,5
1,0,1,1,5.74,50,139,2018,1,13,9,5
1,0,1,2,6.56,50,38,2018,1,13,10,5
1,0,1,2,8.2,44,37,2018,1,13,11,5
1,0,1,1,8.2,44,52,2018,1,13,12,5
1,0,1,1,9.02,41,83,2018,1,13,13,5
1,0,1,1,9.02,41,42,2018,1,13,14,5
1,0,1,1,9.84,38,60,2018,1,13,15,5
1,0,1,1,9.84,38,78,2018,1,13,16,5
1,0,1,1,8.2,40,162,2018,1,13,17,5
1,0,1,1,8.2,40,144,2018,1,13,18,5
1,0,1,1,6.56,47,99,2018,1,13,19,5
1,0,1,1,6.56,47,64,2018,1,13,20,5
1,0,1,1,5.74,46,40,2018,1,13,21,5
1,0,1,1,5.74,46,30,2018,1,13,22,5
1,0,1,1,4.92,50,15,2018,1,13,23,5
1,0,1,1,4.92,50,14,2018,1,14,0,6
1,0,1,1,4.1,54,5,2018,1,14,1,6
1,0,1,1,4.1,54,1,2018,1,14,2,6
1,0,1,1,4.1,54,1,2018,1,14,3,6
1,0,1,1,4.1,54,8,2018,1,14,5,6
1,0,1,1,4.1,54,17,2018,1,14,6,6
1,0,1,1,4.1,74,70,2018,1,14,7,6
1,0,1,1,4.92,68,158,2018,1,14,8,6
1,0,1,1,5.74,69,117,2018,1,14,9,6
1,0,1,1,7.38,55,44,2018,1,14,10,6
1,0,1,1,7.38,51,53,2018,1,14,11,6
1,0,1,1,8.2,44,61,2018,1,14,12,6
1,0,1,1,9.02,37,77,2018,1,14,13,6
1,0,1,1,9.02,41,64,2018,1,14,14,6
1,0,1,1,9.84,38,68,2018,1,14,15,6
1,0,1,1,9.02,41,90,2018,1,14,16,6
1,0,1,1,9.02,41,159,2018,1,14,17,6
1,0,1,1,8.2,47,139,2018,1,14,18,6
1,0,1,1,6.56,59,92,2018,1,14,19,6
1,0,1,1,7.38,59,68,2018,1,14,20,6
1,0,1,1,6.56,69,52,2018,1,14,21,6
1,0,1,2,6.56,69,36,2018,1,14,22,6
1,0,1,2,7.38,55,27,2018,1,14,23,6
1,0,0,1,7.38,55,28,2018,1,15,0,0
1,0,0,2,6.56,59,20,2018,1,15,1,0
1,0,0,2,6.56,59,12,2018,1,15,2,0
1,0,0,2,6.56,59,8,2018,1,15,3,0
1,0,0,2,6.56,59,5,2018,1,15,4,0
1,0,0,1,6.56,59,1,2018,1,15,5,0
1,0,0,1,5.74,63,3,2018,1,15,6,0
1,0,0,1,5.74,63,10,2018,1,15,7,0
1,0,0,1,5.74,63,23,2018,1,15,8,0
1,0,0,1,6.56,64,33,2018,1,15,9,0
1,0,0,1,7.38,59,59,2018,1,15,10,0
1,0,0,1,8.2,55,72,2018,1,15,11,0
1,0,0,1,9.84,48,89,2018,1,15,12,0
1,0,0,1,11.48,38,101,2018,1,15,13,0
1,0,0,1,12.3,39,118,2018,1,15,14,0
1,0,0,2,13.12,36,129,2018,1,15,15,0
1,0,0,2,13.94,34,128,2018,1,15,16,0
1,0,0,2,13.12,36,83,2018,1,15,17,0
1,0,0,2,12.3,45,84,2018,1,15,18,0
1,0,0,2,13.12,39,74,2018,1,15,19,0
1,0,0,2,13.12,39,41,2018,1,15,20,0
1,0,0,2,13.12,39,57,2018,1,15,21,0
1,0,0,2,12.3,42,26,2018,1,15,22,0
1,0,0,1,12.3,45,44,2018,1,15,23,0
1,0,0,1,10.66,56,39,2018,1,16,0,1
1,0,0,1,10.66,56,23,2018,1,16,1,1
1,0,0,1,10.66,56,16,2018,1,16,2,1
1,0,0,1,9.02,69,15,2018,1,16,3,1
1,0,0,1,10.66,56,1,2018,1,16,4,1
1,0,0,2,10.66,56,2,2018,1,16,5,1
1,0,0,2,10.66,56,1,2018,1,16,6,1
1,0,0,2,9.84,56,3,2018,1,16,7,1
1,0,0,1,9.02,55,18,2018,1,16,8,1
1,0,0,1,9.02,51,32,2018,1,16,9,1
1,0,0,1,9.02,51,79,2018,1,16,10,1
1,0,0,1,9.84,44,93,2018,1,16,11,1
1,0,0,1,9.84,41,104,2018,1,16,12,1
1,0,0,1,10.66,35,118,2018,1,16,13,1
1,0,0,1,11.48,36,91,2018,1,16,14,1
1,0,0,1,10.66,38,113,2018,1,16,15,1
1,0,0,1,9.84,38,99,2018,1,16,16,1
1,0,0,1,9.02,37,105,2018,1,16,17,1
1,0,0,1,8.2,40,67,2018,1,16,18,1
1,0,0,1,7.38,47,61,2018,1,16,19,1
1,0,0,1,7.38,47,57,2018,1,16,20,1
1,0,0,1,7.38,51,28,2018,1,16,21,1
1,0,0,2,8.2,49,21,2018,1,16,22,1
1,0,0,2,8.2,40,18,2018,1,16,23,1
1,1,0,2,8.2,47,17,2018,1,17,0,2
1,1,0,2,8.2,44,16,2018,1,17,1,2
1,1,0,2,7.38,43,8,2018,1,17,2,2
1,1,0,2,7.38,43,2,2018,1,17,3,2
1,1,0,2,7.38,43,3,2018,1,17,4,2
1,1,0,2,7.38,43,1,2018,1,17,5,2
1,1,0,2,7.38,43,5,2018,1,17,6,2
1,1,0,2,6.56,50,13,2018,1,17,7,2
1,1,0,2,6.56,47,33,2018,1,17,8,2
1,1,0,2,6.56,47,47,2018,1,17,9,2
1,1,0,2,6.56,50,57,2018,1,17,10,2
1,1,0,2,6.56,55,64,2018,1,17,11,2
1,1,0,2,7.38,47,80,2018,1,17,12,2
1,1,0,2,7.38,47,93,2018,1,17,13,2
1,1,0,2,7.38,43,86,2018,1,17,14,2
1,1,0,2,8.2,47,93,2018,1,17,15,2
1,1,0,2,8.2,47,82,2018,1,17,16,2
1,1,0,1,8.2,51,71,2018,1,17,17,2
1,1,0,2,7.38,55,92,2018,1,17,18,2
1,1,0,3,7.38,59,60,2018,1,17,19,2
1,1,0,3,6.56,80,33,2018,1,17,20,2
1,1,0,3,6.56,80,27,2018,1,17,21,2
1,1,0,3,5.74,93,13,2018,1,17,22,2
1,1,0,3,6.56,86,4,2018,1,17,23,2
1,0,1,2,8.2,86,3,2018,1,18,12,3
1,0,1,2,8.2,86,22,2018,1,18,13,3
1,0,1,2,9.02,80,28,2018,1,18,14,3
1,0,1,2,9.02,87,35,2018,1,18,15,3
1,0,1,2,9.02,87,61,2018,1,18,16,3
1,0,1,2,9.02,82,125,2018,1,18,17,3
1,0,1,2,9.02,80,133,2018,1,18,18,3
1,0,1,2,9.02,80,99,2018,1,18,19,3
1,0,1,2,9.02,87,83,2018,1,18,20,3
1,0,1,2,9.02,93,41,2018,1,18,21,3
1,0,1,2,9.02,93,33,2018,1,18,22,3
1,0,1,2,9.02,93,20,2018,1,18,23,3
1,0,1,2,9.02,93,3,2018,1,19,0,4
1,0,1,3,9.02,93,7,2018,1,19,1,4
1,0,1,3,9.02,93,3,2018,1,19,2,4
1,0,1,3,9.02,93,2,2018,1,19,4,4
1,0,1,2,9.02,93,7,2018,1,19,5,4
1,0,1,2,9.02,93,32,2018,1,19,6,4
1,0,1,2,9.84,92,90,2018,1,19,7,4
1,0,1,2,9.84,93,197,2018,1,19,8,4
1,0,1,2,9.84,93,109,2018,1,19,9,4
1,0,1,2,10.66,93,47,2018,1,19,10,4
1,0,1,2,11.48,87,52,2018,1,19,11,4
1,0,1,2,12.3,81,70,2018,1,19,12,4
1,0,1,1,16.4,62,78,2018,1,19,13,4
1,0,1,1,16.4,58,75,2018,1,19,14,4
1,0,1,1,16.4,54,82,2018,1,19,15,4
1,0,1,1,15.58,58,104,2018,1,19,16,4
1,0,1,1,14.76,57,197,2018,1,19,17,4
1,0,1,1,13.94,61,161,2018,1,19,18,4
1,0,1,1,13.12,57,112,2018,1,19,19,4
1,0,1,1,13.12,49,76,2018,1,19,20,4
1,0,1,1,13.12,49,59,2018,1,19,21,4
1,0,1,1,12.3,52,59,2018,1,19,22,4
1,0,1,1,12.3,52,28,2018,1,19,23,4
1,0,1,2,6.56,64,8,2018,2,1,0,3
1,0,1,2,6.56,69,3,2018,2,1,1,3
1,0,1,2,6.56,69,2,2018,2,1,2,3
1,0,1,2,6.56,69,2,2018,2,1,3,3
1,0,1,3,5.74,93,3,2018,2,1,5,3
1,0,1,3,5.74,93,22,2018,2,1,6,3
1,0,1,3,6.56,93,52,2018,2,1,7,3
1,0,1,3,6.56,93,135,2018,2,1,8,3
1,0,1,2,6.56,93,116,2018,2,1,9,3
1,0,1,2,6.56,93,47,2018,2,1,10,3
1,0,1,2,7.38,86,51,2018,2,1,11,3
1,0,1,2,8.2,86,55,2018,2,1,12,3
1,0,1,2,8.2,86,52,2018,2,1,13,3
1,0,1,2,9.02,80,54,2018,2,1,14,3
1,0,1,2,9.84,75,52,2018,2,1,15,3
1,0,1,2,9.84,75,64,2018,2,1,16,3
1,0,1,2,9.84,75,176,2018,2,1,17,3
1,0,1,2,9.84,81,168,2018,2,1,18,3
1,0,1,2,9.84,81,108,2018,2,1,19,3
1,0,1,2,9.02,87,74,2018,2,1,20,3
1,0,1,2,9.02,87,64,2018,2,1,21,3
1,0,1,2,9.02,87,36,2018,2,1,22,3
1,0,1,3,8.2,93,16,2018,2,1,23,3
1,0,1,3,9.02,93,2,2018,2,2,0,4
1,0,1,3,9.02,93,3,2018,2,2,1,4
1,0,1,3,9.02,93,4,2018,2,2,2,4
1,0,1,3,9.02,93,1,2018,2,2,3,4
1,0,1,3,9.02,93,1,2018,2,2,4,4
1,0,1,3,9.02,93,3,2018,2,2,5,4
1,0,1,3,9.02,93,18,2018,2,2,6,4
1,0,1,3,9.02,93,49,2018,2,2,7,4
1,0,1,3,9.02,93,155,2018,2,2,8,4
1,0,1,2,9.84,93,123,2018,2,2,9,4
1,0,1,2,9.02,100,61,2018,2,2,10,4
1,0,1,2,9.84,93,52,2018,2,2,11,4
1,0,1,2,9.84,93,64,2018,2,2,12,4
1,0,1,1,13.94,93,75,2018,2,2,13,4
1,0,1,1,15.58,82,63,2018,2,2,14,4
1,0,1,1,15.58,76,76,2018,2,2,15,4
1,0,1,1,14.76,71,103,2018,2,2,16,4
1,0,1,1,14.76,53,190,2018,2,2,17,4
1,0,1,1,13.94,42,182,2018,2,2,18,4
1,0,1,1,11.48,45,91,2018,2,2,19,4
1,0,1,1,9.84,48,75,2018,2,2,20,4
1,0,1,1,9.02,47,63,2018,2,2,21,4
1,0,1,1,9.02,44,40,2018,2,2,22,4
1,0,1,1,8.2,44,32,2018,2,2,23,4
1,0,1,1,8.2,40,12,2018,2,3,0,5
1,0,1,1,8.2,44,5,2018,2,3,1,5
1,0,1,1,7.38,43,2,2018,2,3,2,5
1,0,1,1,7.38,43,1,2018,2,3,3,5
1,0,1,1,6.56,50,2,2018,2,3,5,5
1,0,1,1,6.56,43,39,2018,2,3,6,5
1,0,1,1,5.74,50,87,2018,2,3,7,5
1,0,1,1,5.74,50,188,2018,2,3,8,5
1,0,1,1,6.56,47,133,2018,2,3,9,5
1,0,1,1,7.38,43,52,2018,2,3,10,5
1,0,1,1,7.38,43,64,2018,2,3,11,5
1,0,1,1,8.2,40,69,2018,2,3,12,5
1,0,1,1,8.2,40,51,2018,2,3,13,5
1,0,1,1,9.02,37,47,2018,2,3,14,5
1,0,1,1,9.02,37,60,2018,2,3,15,5
1,0,1,1,9.02,37,78,2018,2,3,16,5
1,0,1,1,8.2,40,175,2018,2,3,17,5
1,0,1,1,8.2,40,147,2018,2,3,18,5
1,0,1,1,8.2,40,96,2018,2,3,19,5
1,0,1,1,8.2,47,109,2018,2,3,20,5
1,0,1,1,7.38,55,54,2018,2,3,21,5
1,0,1,1,7.38,51,41,2018,2,3,22,5
1,0,1,1,8.2,47,38,2018,2,3,23,5
1,0,1,2,8.2,44,13,2018,2,4,0,6
1,0,1,2,6.56,59,7,2018,2,4,1,6
1,0,1,2,5.74,63,1,2018,2,4,2,6
1,0,1,2,5.74,63,1,2018,2,4,3,6
1,0,1,2,5.74,63,7,2018,2,4,5,6
1,0,1,2,6.56,55,28,2018,2,4,6,6
1,0,1,1,5.74,59,87,2018,2,4,7,6
1,0,1,1,5.74,74,220,2018,2,4,8,6
1,0,1,2,6.56,80,127,2018,2,4,9,6
1,0,1,2,8.2,51,51,2018,2,4,10,6
1,0,1,1,9.02,51,64,2018,2,4,11,6
1,0,1,2,9.84,48,86,2018,2,4,12,6
1,0,1,2,10.66,50,82,2018,2,4,13,6
1,0,1,2,11.48,45,91,2018,2,4,14,6
